id;nom;niveau;annee_scolaire
1;pour croâ;aux environs de;apte
2;après-demain;tellement;sédentaire sympathique administration
3;simplifier bien que de façon à ce que;commis de cuisine athlète en plus de;emprunter coin-coin durant
4;respecter;effrayer;déceler
5;chef tic-tac;vaste comme;tenir
6;employer outre géométrique;pendant que;du fait que
7;brusque;splendide vouh;cuicui
8;antique ouf ha;jusqu’à ce que;triangulaire moderne simple
9;égoïste énorme parlementaire;dynamique serviable à bas de;coac coac réduire
10;près de patientèle éclairer;incognito égoïste;assez toutefois
